id;date;product;platform;text;topic
270;2025-10-20;Маркетплейс;WEB;При оформлении заказа не предоставлена полная информация о товаре. Телефон оказался во вскрытой упаковке. Продавец обязан заранее об этом сообщить. Телефон лежал рядом с продавцом, сидящим на ресепшене, а не находился там, где должны находится заказы. У меня не спросили номер заказа, как будто заранее знали.  Информация предоставляемая в чате поддержки МТС не соответствует тому, что говорит продавец. При оформлении заказа срок хранения 2 суток, в чате мне продлили срок хранения до 20.10 и сказали, что на больший срок продлить не могут. Я сама в ЛК ещё продлила срок на один день - до 21.10.  А продавец в салоне сказала, что заказ за мной зарезервирован до середины ноября, то есть я могу его забрать в течение месяца. У меня был выбран спрособ оплаты - рассрочка. В чате мне сказали, что в салоне нельзя булет изменить выбранный при оформлении заказа способ оплаты, это возможно только в ЛК, через чат. А в салоне открыли мой заказ на сайте и сказали, что можно оплатить сразу полностью, не в рассрочку. Впечатление, что я столкнулась с махинациями. Мне пытались продать, не то, что я заказывала.;4
271;2025-10-11;Маркетплейс;WEB;Система комплектов- полная шляпа. Выбор без выбора. Насильное втюхивание, чтобы получить более-менее нормальную стоимость ;-1
272;2025-10-03;Маркетплейс;WEB;30 минутная очередь на получение товара в салоне, отсутствие доставки;0
273;2025-10-21;Маркетплейс;WEB;Выбора нет, цены завышены, мало того, что скучный ассортимент, так в наличии 2-3 позиции..Потратить кэш не возможно без премиума)) Навязываю его ,или сгорит;3
274;2025-10-17;Маркетплейс;WEB;Продаете брак и некачественный товар с ужасным звуком! Еще и упаковка не оригинальная!;1
275;2025-10-31;Маркетплейс;WEB;Не нашла в перечне города Республики Крым;0
276;2025-10-14;Маркетплейс;WEB;Нет в наличии в моем городе ;0
277;2025-10-21;Маркетплейс;WEB;Сделали заказ, прошла скидка трейдин + скидка на телефон, прихожу в магазин Брянск Красноармейская д100, мне говорят у вас в заказе нет трейдин, мне пришла смс что есть. в магазине говорят нет, мы никакого отношения к интернет магазину не имеем ... ;2
278;2025-10-24;Маркетплейс;WEB;"1) Игнорирование заявки 1-[ТЕЛЕФОН]8. Вопрос предоставления дополнительной гарантии на устройство по акции ""Как новый""  2) Необоснованный отказ в гарантийном обслуживании U37925101500005  3) Отказ в отмене договора купли-продажи на некачественный товар";6
279;2025-10-12;Маркетплейс;WEB;Часы продаются с наушниками за 22 тыс.руб., а у вас одни наушники;1
280;2025-10-02;Маркетплейс;WEB;В смартфоне показывает модели телефонов для Москвы, но это узнаешь когда идет оформление. Раньше сверху было видно какой город определен. Сейчас нет.;-1
281;2025-10-27;Маркетплейс;WEB;Навязчивый сервис с ненужными плюшками ;0
282;2025-10-19;Маркетплейс;WEB;билайн лучше!!!;0
283;2025-10-05;Маркетплейс;WEB;в магазине мтс цена ниже. старый смартфон не сдать - нет в перечне, также он должен быть 100% исправен. Нет описаний используемых в смартфоне технологий (хотя бы ссылки). Выбор смартфонов ограничен, нет марок Nothing, а также вариантов чистого андроида и по ценам до 20000 руб. В вариантах из Китая на Али Экспресс есть международная прошивка с российскими полосами (band...). Также мало вариантов со Snapdragon процессорами, всё с китайскими... ;4
284;2025-10-23;Маркетплейс;WEB;Очень долгая выдача предзаказов;0
285;2025-10-24;Маркетплейс;WEB;Не даю советы, каждый решает сам;0
286;2025-10-16;Маркетплейс;WEB;много неясностей в описании ;0
287;2025-10-14;Маркетплейс;WEB;Мтс.некогда.не.работает;0
288;2025-10-27;Маркетплейс;WEB;Сервис - говно, хозяева МТС - говно.;0
289;2025-10-02;Маркетплейс;WEB;делал как то заказ.пришел в магазин,а товара нет,сплошное наебалово!БОЛЬШЕ С МАГАЗИНОМ МТС НИКАКИХ ДЕЛ!!!ДА И СОТОВОГО ОПЕРАТОРА НАВЕРНОЕ БУДУ МЕНЯТЬ,ОТЯ ПОКА В МТС.И ПОЛЬЗОВАЛСЯ УЖЕ БОЛЕЕ 20 ЛЕТ!;4
290;2025-10-03;Маркетплейс;WEB;Не работают заявленные акции;0
291;2025-10-18;Маркетплейс;WEB;"Поверил словам вашего директора, ""айфоны 17 получат до конца сентября"". День рождения испорчен, никогда тут больше ничего не закажу! НИКОГДА!";2
292;2025-10-09;Маркетплейс;WEB;Заставляют отменить собранный заказ из-за того что не нашли курьера сегодня, а товара уже нет в наличии.;-1
293;2025-10-01;Маркетплейс;WEB;Оформил заказ, дважды переофрмляли по итогу отменили, сказали езжайте в магазин. Ужасный сервис;2
294;2025-10-26;Маркетплейс;WEB;Магазин не лучше и не хуже других.  Какой смысл рекомендовать если нет разницы.  Если бы у магазина была своя фишка, заметное отличие, тогда да. ;3
295;2025-10-21;Маркетплейс;WEB;Всё плохо ;0
296;2025-10-23;Маркетплейс;WEB;нет 100% гарантии, что получишь товар после оформления и оплаты.  наличие товаров в интернет магазине не соответствует реальному наличию.  при заказе нового телефона с доставкой, салон может спокойно отгрузить б/у телефон (как новый и всё подобное, как вы это называете). итог - отказ, потерянное время, замороженные деньги.  в целом плохой пользовательский опыт.;6
297;2025-10-28;Маркетплейс;WEB;После выбора товара и продолжении покупок, автоматически возвращает в начало списка. БЕСИТ?????;1
298;2025-10-14;Маркетплейс;WEB;Не доверяю. Лучше на Яву рассмотреть и проверить взяв с собой специалиста;1
299;2025-10-12;Маркетплейс;WEB;Малый срок резерва. Невозможно позвонить в магазин и продлить резерв. Для общения в чате нужно быть абонентом МТС. Такого тупости мир точно ещё не знал.;4
300;2025-10-28;Маркетплейс;WEB;Когда заказываешь смартфон с самовывозом из магазинов МТС, всегда дают вскрытую коробку и смартфон заляпан чьими-то руками.;-1
301;2025-10-03;Маркетплейс;WEB;дорого;0
302;2025-10-27;Маркетплейс;WEB;Не вписывается кэшбэк, пропали всё товары из избранного, хотя 9:00 утра, после обращения к менеджеру пропали товары.  ;1
303;2025-10-17;Маркетплейс;WEB;Я оплачивал кэшбэком одну модель телефона, а мне подсунули другой  - бэушный, более дешёвый.;-1
304;2025-10-07;Маркетплейс;WEB;На сайте есть. Оформляеш товар его сразу нет;1
305;2025-10-26;Маркетплейс;WEB;По рекламе на товар звучит рассрочка В каталоге магазина то же А корзина говорит, на данный товар рассрочка не распространяется!;5
306;2025-10-06;Маркетплейс;WEB;Нет возможности выбрать дату доставки и ограничен самовывоз по магазинам. ;0
307;2025-10-13;Маркетплейс;WEB;отсутствие товара;0
308;2025-10-04;Маркетплейс;WEB;1. Ваша компания три месяца крала у меня деньги через МТС СТРАХОВАНИЕ. 2. Ваша компания не имеет даже адреса электронной почты, куда можно было бы направить претензию. 3. В вашей компании нет службы поддержки. Ваши телефоны не позволяют связаться с оператором.  Как вы думаете, могу я кому бы то ни было рекомендовать вашу компанию? ;-1
309;2025-10-19;Маркетплейс;WEB;привезли бу телефон вместо нового;0
310;2025-10-19;Маркетплейс;WEB;Сделал заказ. Получил подтверждение.2 часа добирался. 30 минут стоял в очереди. Заказа нет. Приехал через 2 часа домой, а заказ по прежнему ждёт меня по прежнему адресу! Заказ 89227786.  Издевательство! А мне 79 лет!;2
311;2025-10-03;Маркетплейс;WEB;Нужного товара нет, акции не работают ;0
312;2025-10-22;Маркетплейс;WEB;Нет ничего в наличии)));0
313;2025-10-30;Маркетплейс;WEB;К заказанному смартфону не смогла сразу заказать зарядное устройство и чехол;-1
314;2025-10-27;Маркетплейс;WEB;Ужасный сервис. Ужасающий. Оформил претензию. ;1
679;2025-08-01;Маркетплейс;WEB;Зачем делать платный самовывоз? Надо добавить опцию бесплатного самовывоза товаров в салонах, где товар в наличии;0
680;2025-08-03;Маркетплейс;WEB;нет товара в наличие по городу, приедет только через неделю и ещё просите 499р за ожидание и самовывоз;1
681;2025-08-03;Маркетплейс;WEB;сделал заказ купить новый смартфон, приехал в магазин - смартфон весь поцарапанный, битый, с чужой сим-картой. Звонил в поддержку - 0.;6
682;2025-08-03;Маркетплейс;WEB;Информация о рассрочке скрыта и о доп.услугах узнаешь только на последнем этапе оформления;5
683;2025-08-04;Маркетплейс;WEB;1. Очень тормозит 2. Нужных товаров нет в наличии 3. Кнопка характеристики... Вы б ее в самый конец бы засунули к херам 4. Жму на одно, открывается другое;3
684;2025-08-05;Маркетплейс;WEB;Рассрочку как оформить?;0
685;2025-08-05;Маркетплейс;WEB;было заявлено, что сертификат поступить в смс на мобильный через который предзаказ оформляла, а он не поступил, то есть заявленное не соответствует реальным действиям, что расстраивает и магазин из-за этого теряет моё доверие;2
686;2025-08-09;Маркетплейс;WEB;заказал наушники с доставкой. на сайте гордая надпись что упаковка у разных видов товара может быть вскрыта так как проводим ДОПОЛНИТЕЛЬНУЮ ПРОВЕРКУ КАЧЕСТВА. В итоге позвонили сказали что они бракованные и отменили заказ. Теперь еще нужно ждать когда деньги вернуться. А про то что доставка платная и даже не в пункт выдачи а в один из салонов это вообще так себе идея;2
687;2025-08-09;Маркетплейс;WEB;МТС один из самых худших магазинов, на мой взгляд, честно. Маленький выбор (просто для примера, смартфоны Realme на 09.08 намного больше выбор у Билайна и Мегафона, про маркетплейсы молчу), высокие цены, нельзя купить больше 2 одинаковых товаров физлицу (где еще такой абсурд?) , платный самовывоз на ряд товаров и ноль лояльности покупателям. Просто позор какой-то, а не магазин.;4
688;2025-08-10;Маркетплейс;WEB;Ещё не получил зарплату;0
689;2025-08-10;Маркетплейс;WEB;Заманиваете покупателей враньем про про рассрочку бес всего лишнего, а сами потом просите набрать доп аксессуары. Фу на вас;5
690;2025-08-11;Маркетплейс;WEB;НАХЕРА ВСЯКУЮ Б/У СУВАТЬ??? ЕСЛИ Я ЗАХОЧУ ГОВНА - Я ПОСТАВЛЮ В ФИЛЬТРЕ Б/У. ЕСЛИ ПРОСТО СМАРТФОН - ТО ЭТО НЕ КАК НОВЫЙ, А ПРОСТО НОВЫЙ!!!;1
691;2025-08-12;Маркетплейс;WEB;Много косяков при оформлении заказа по акции. То, что написано в условиях, по факту не работает.;2
692;2025-08-13;Маркетплейс;WEB;Делал три заказа подряд, первые два заказа товар был в итоге с дефектом, третий заказ товар витринный. Но нигде не пишется это и никто не сообщает. Никому не порекомендую магазин;2
693;2025-08-14;Маркетплейс;WEB;Скудный товар, высокие цены, ПЛАТНАЯ доставка при самовывозе!!!;0
694;2025-08-14;Маркетплейс;WEB;Сайт ужасно медленный. Поиск работает очень плохо. Товара мала. То что есть в магазинах МТС на сайте не найти.;4
695;2025-08-15;Маркетплейс;WEB;В моем городе есть магазин МТС но он не показывается в интернет магазине;0
696;2025-08-14;Маркетплейс;WEB;Дорого, нет многих позиций. Платная доставка КАРЛ;0
697;2025-08-17;Маркетплейс;WEB;Инет почините блять;0
698;2025-08-18;Маркетплейс;WEB;При оформлении заказа одни договорённости, при получении вдруг всё меняется.;0
699;2025-08-19;Маркетплейс;WEB;Нет доставки товаров в один магазин.;0
700;2025-08-23;Маркетплейс;WEB;И цены высокие, и нет того, что искал.;0
701;2025-08-23;Маркетплейс;WEB;Отвратительно! Работа в рамках обращения(претензии).;1
702;2025-08-24;Маркетплейс;WEB;Не могу найти наличие в конкретных магазинах;0
703;2025-08-26;Маркетплейс;WEB;Почему кэшбэк, переведенный на свчзь, оказывается в интернет магазине?;-1
704;2025-08-27;Маркетплейс;WEB;сделали заказ на определенную дату, но заказ не привезли ни в дату назначенную, ни на следующий день! заказ оплачен полностью до получения! Ощущение мошенничества!!!;2
705;2025-08-27;Маркетплейс;WEB;Запутанная система с баллами! Цены не адекватные. к примеру, iphone 16 128 в нормальном магазине можно купить за 59, у вас же он стоит 78. Какой дурачок купит телефон на 25% дороже?;6
706;2025-08-29;Маркетплейс;WEB;Просто смотрю;0
707;2025-08-30;Маркетплейс;WEB;Обман с рассрочкой, это кредит под 24%;5
708;2025-08-31;Маркетплейс;WEB;Все вышеперечисленняе варианты ответа.;0
709;2025-08-03;Маркетплейс;WEB;Сделала заказ на самовывоз товара. Пришли в этот же день забрать, после смс уведомления. Сотрудник магазина не смог выдать товар, тк не смог открыть дверцу витрины. Ушли без заказа соответсвенно.;2
710;2025-08-05;Маркетплейс;WEB;Я не купил телефон, нужно было вносить данные паспорта. Его не было под рукой.;-1
711;2025-08-05;Маркетплейс;WEB;Плохо работает сайт а также завышенные цены .;0
712;2025-08-05;Маркетплейс;WEB;В рекламе написано рассрочка на 24 месяца в условиях нет ни слова о дополнительных товарах ! А при оформлении меня обязывают взять дополнительный товар ! На каком основании;5
713;2025-08-06;Маркетплейс;WEB;Во первых, история с одним из моих заказов, когда МТС сильно обманул с кешбэком. Во вторых, цены намного выше чем на маркетплейсах. Даже выше, чем в Мегафоне и Билайне. У меня накопилось почти 7000 баллов за использование сервиса МТС Тревел, который накрылся, поэтому придется что-нибудь купить здесь, к сожалению.;3
714;2025-08-07;Маркетплейс;WEB;Цена не конкурентная, мало товарных позиций. Списания кэшбека всего 50%(;3
715;2025-08-07;Маркетплейс;WEB;Обман. Заказали телефон, а его якобы случайно не оказалось (((( Мне сегодня нужен телефон, а не деньги через 5 дней!!!!! Значит должны были попытаться решить вопрос, предложить другой расцветки. А не просто отменять. Длительное много отзывов по вашей работе......;2
716;2025-08-07;Маркетплейс;WEB;Неактуальные данные про скидку, неверные данные о товаре, слишком сложная система покупки телефона без сим-карты, отвлекающие элементы, неудобный интерфейс;6
717;2025-08-07;Маркетплейс;WEB;Ошибка 403. Цена всегда в 2 раза выше чем в других магазинах. Бонусами нельзя оплатить 100% стоимости товара. Платная доставка до магазина за 199 рублей. Маленький выбор всего. Неактуальные модели телефонов, устаревшие на 3 года. В списке товаров показываются товары которых нет в наличии. И так далее. Сами попробуйте использовать свой интернет-магазин как покупатель.;6
718;2025-08-08;Маркетплейс;WEB;1. Очень маленький ассортимент на территории НН 2. Постоянно всплывающие баннеры, выезжающие экраны с рекламой. Жутко мешает использованию сайта;3
719;2025-08-08;Маркетплейс;WEB;На сайте СИМ карты продаются по одной цене, при выдаче заказа требуют доплатить 50 процентов от стоимости заказа. Это что такое?;-1
720;2025-08-08;Маркетплейс;WEB;при добавлении товара в корзину была скидка в размере 10000р на трейд-ин, заказала телефон, на след день скидка исчезла, хорошо перед поездкой в магазин проверила, так же на оф сайте есть реклама ,в которой указано что при покупке самсунга с24 фе наушники идут в подарок, в итоге в корзине акция не сработала;-1
721;2025-08-09;Маркетплейс;WEB;долгое ожидание товара по предзаказу, когда в других магазинах он уже в наличии;-1
722;2025-08-12;Маркетплейс;WEB;ребят, у вас очень высокие цены, даже с учетом кешбеков. это ужасно, не хочется у вас ничего покупать. а что самое позорное кмк -- это то что вы товары с вашего магазина на вайлберис продаете существенно дешевле. прям какое-то издевательство над теми, кто посещает ваш сайт;3
723;2025-08-12;Маркетплейс;WEB;Еще не успела решить или выбрать, просто смотрю;0
724;2025-08-14;Маркетплейс;WEB;Не отписаться;0
725;2025-08-15;Маркетплейс;WEB;Надо изучить и сравнить цены;0
726;2025-08-15;Маркетплейс;WEB;отвратительное оформление каталога, не понять что предложено пока не заглянул в карточку!;1
727;2025-08-16;Маркетплейс;WEB;Просто не удобный и не привлекательный магазин. Оформление интерфейса не соответствует высокотехнологичному образцу бренда МТС. Как будто школьник на коленке делал дизайн магазина.;4
728;2025-08-16;Маркетплейс;WEB;Нереально купить телефон и аксессуары к нему (чехол, защитную плёнку/стекло, зарядное устройство) в одном магазине.;-1
729;2025-08-18;Маркетплейс;WEB;Доставка по Москве платная , единственный интернет-магазин, где такая практика;0
730;2025-08-24;Маркетплейс;WEB;На дополнительные комплекты нет подробного описания. Много ссылок, чтобы узнать полную информацию.;-1
731;2025-08-25;Маркетплейс;WEB;Зачем то в перечне товаров, полно товаров которых нет в наличии и не будет. Сайт какой то заброшенный.;1
732;2025-08-25;Маркетплейс;WEB;ДИСКРИМИНАЦИЯ ПО ОТНОШЕНИЮ К НАРОДУ ПРОЖИВАЮЩЕМУ В ГЛУБИНКЕ .;0
733;2025-08-25;Маркетплейс;WEB;Некомпетентные сотрудники;0
734;2025-08-27;Маркетплейс;WEB;Ещё не совершала покупок;0
735;2025-08-27;Маркетплейс;WEB;Не нравится мтс;0
736;2025-08-27;Маркетплейс;WEB;Заказал ночью. Утром рано пришел в салон ... Простоял 35 мин заказ не выдали. Надо смс. . Отпряли код подтверждения заказа.. Телефон не покащывабт. Ждём... .5 минут ждем смс... Сняли елиенственный аппарат с витрины. Включить не получилось Поставили на зарядку. С учетом дроги поткрял 55 минут. Зашел в соседний магазин. Вставил симку.. Проверил работу... Мтс никогда больше ничего не куплю;4
737;2025-08-27;Маркетплейс;WEB;Потому что нехорошо заниматься мошенничеством. Акция по HUAWEI Nova Y72S 8/128 Гб . Вы в наглую завысили цену в 2 раза... Поставили цену 16990, хотя даже на самых дорогих магизинах он стоит 10 000. Ведь можно купить 2 таких телефона и еще 980рублей останется. Ну почему у вас всегда так? Всегда только обман? Ну вот почему??? Почему нельзя сделать честную акцию?;6
738;2025-08-28;Маркетплейс;WEB;вместо кнопки заполнить анкету кнопка настроить рассрочку;0
739;2025-07-02;Маркетплейс;WEB;Под видом новых,на пунктах выдачи витринные образцы,но при заказе через интернет магазин это ни где не указывается.;1
740;2025-07-04;Маркетплейс;WEB;Вы дол......ы, цены видели? Почти на все они выше. Товар на сайте без авторизации есть, заходишь в лк - его нет. Мусорка, а не мараз...;-1
741;2025-07-04;Маркетплейс;WEB;Цены раза в 2 выше чем на маркет плэйсах, доставка платная в ваши салоны, неадекватно дорогая доставка на дом, баллы мтс кэшбек некуда девать.;3
742;2025-07-04;Маркетплейс;WEB;характеристики товара неполные;0
743;2025-07-05;Маркетплейс;WEB;пидоры на поддержке;0
744;2025-07-06;Маркетплейс;WEB;Совокупность факторов: заказ оформляется и оплачивается неудобно, само приложение работает очень медленно, а в этой анкете нет возможности выбрать 2 варианта)));3
745;2025-07-08;Маркетплейс;WEB;Тянули время и не отдали в итоге заказ;0
746;2025-07-14;Маркетплейс;WEB;Все;0
747;2025-07-17;Маркетплейс;WEB;Отвратительный поиск по каталогу! зачем выдается информация про то, чего нет в продаже???;1
748;2025-07-19;Маркетплейс;WEB;Прикрытие федеральным законом удержание ДС своих клиентов незаконным путем;0
749;2025-07-20;Маркетплейс;WEB;Мало товаров, доставки половины этого товара нет;0
750;2025-07-23;Маркетплейс;WEB;5 - это нейтрально;0
751;2025-07-25;Маркетплейс;WEB;Техника цене как в дорогом магазине. Стала плохо работать. Сотрудники офлайн магазина с трудом, но всё же приняли Устройство для ремонта. После нескольких попыток решить этот вопрос и обращения в службу поддержки. На вопрос сколько обычно составляет время ремонта, сотрудник магазина дал ответ, что обычно не более недели. Тем временем статус ремонта долгое время не обновлялся. Если правильно понимаю, устройство просто пылилось на складе.;2
752;2025-07-26;Маркетплейс;WEB;брать деньги за самовывоз из магазина, в котором все есть в наличии - это дно;0
753;2025-07-26;Маркетплейс;WEB;все операторы НАЕБЫВАЮТ;0
754;2025-07-30;Маркетплейс;WEB;ну камон! я даже в этом опросе не могу выбрать два варианта. для меня есть две большие проблемы — цены выше, чем у конкурентов и усложненный интерфейс;3
755;2025-07-02;Маркетплейс;WEB;Нельзя полностью оплатить товар кэшбэком как раньше. Очень дорого. Дешевле купить на любом маркетплейсе;3
756;2025-07-01;Маркетплейс;WEB;Скромненько и без фантазии;0
757;2025-07-01;Маркетплейс;WEB;Пришел товар с царапинами и сколами.;0
758;2025-07-02;Маркетплейс;WEB;Нет объективных и честных отзывов. Только положительные. На других ресурсах приходится смотреть отзывы. Друзьям не порекомендую;-1
759;2025-07-02;Маркетплейс;WEB;Нет доставки в назначенное время;0
760;2025-07-03;Маркетплейс;WEB;Скудный ассортимент, плохо и медленно работает.;0
761;2025-07-05;Маркетплейс;WEB;1) На многие позиции нет доставки 2) Вы продаёте очень много витринных, вскрытых товаров и нигде об этом не предупреждаете. Чуть ниже подробнее: Пост Orelboy Книга жалоб Пост - предупреждение о магазине МТС⁠⁠ 1 год назад 421 Предупреждён - значит вооружён © [ИМЯ] Для Лиги Лени: очередной пост-нытьё об очередном магазине электроники, но всё-таки в нём будут полезные рекомендации по покупке товаров в магазине МТС. Выводы и пару полезных советов в конце. Далее по существу: Возникла у меня необходимость купить бюджетный смартфон (для мультиков ребёнку, так как любит смотреть именно на телефоне) Магазин МТС выбран по той причине, что у меня завалялось около 6000 мтс бонусов + есть корпоративная скидка (от работы) на покупки в этом магазине. Сразу скажу, что я уже осуществил 2 попытки купить смартфон и обе они неудачные. В чём суть. 30.04.2024 я выбрал и заказал смартфон Infinix note 12 (2023), да-да, именно такое название. В магазине на момент покупки были доступны все цвета. Номер заказа 77817376 (может пригодиться при разборе полётов). На следующий день поступило смс о готовности заказа и я выехал в магазин. Приехав и назвав номер заказа на кассе мне принесли телефон и дальше начинается интересное, коробка вскрыта, при осмотре на телефоне обнаружен скол на боковой грани и царапины в районе зарядки. Проще говоря это витринный образец. Естественно нигде об этом не было предупреждения. Далее через переписку в чате с поддержкой выясниться, что МТС не считает такой телефон БУ. Но это ладно, самое печальное, что и не предупреждают. Далее я решил войти в ту же реку, но немного с другого места. Я выбрал другой смарфтон и посмотрел, чтобы их было много в наличии. На этот раз выбор пал на Techno Pova 5. Этот телефон с таким же процессором как и предыдущий и в принципе идентичен по характеристикам. На момент покупки был в наличии в 46 магазинах (Москва). Дата оформления в интернет-магазине 03.05.2024, номер заказа 77879008. Иду в магазин и история повторяется. Снова витринка и снова поцарапанная, на этот раз без скола. Звоню в техподдержку и прошу выяснить есть ли новый телефон такой, оказывается есть, но далеко от меня, а доставки даже в собственную сеть у них нет. PS: Сайт shop.mts.ru работает отвратительно. Он не сохраняет сессию, хотя при заходе указываешь галочку, чтобы не выходил.;4
762;2025-07-05;Маркетплейс;WEB;Оформил заказ, не смог его получить.;0
763;2025-07-05;Маркетплейс;WEB;Доставка;0
764;2025-07-05;Маркетплейс;WEB;Однажды после покупки колонки, не начислили бонусы. Мурыжили три месяца, все что то проверяли, в итоге сказали, что я не успел выкупить товар. Хотя какая разница, главное, что успел заказ оформить.;2
765;2025-07-08;Маркетплейс;WEB;Предлагаете рассрочку но не даёте;0
766;2025-07-11;Маркетплейс;WEB;не выполняется уже оплаченный заказ, срок ожидания уже превышен в 3 раза от обещанного, очень похоже на мошенничество. А друзьям мошенников не советуют;2
767;2025-07-11;Маркетплейс;WEB;Цена на доставку в другой город значительно дороже;0
768;2025-07-13;Маркетплейс;WEB;почти на всех трубках нет всей(полной) информации,процерки стоят;1
769;2025-07-13;Маркетплейс;WEB;МТС еврейский оператор;0
770;2025-07-14;Маркетплейс;WEB;Маленький срок резерва заказа;0
771;2025-07-15;Маркетплейс;WEB;Свой смартфон заменить.;0
772;2025-07-16;Маркетплейс;WEB;Высокие тарифы;0
773;2025-07-16;Маркетплейс;WEB;Приложение для ios не имеет кнопки «назад». Когда ищешь что-то и сравниваешь, просто неудобно, до раздражения…;1
774;2025-07-17;Маркетплейс;WEB;ребят, ваши цены существенно выше чем в целом по маркетплейсам, магазинам. при этом сами продаете свои товары на площадках типа WB с большими скидками. а здесь цена всегда выше и даже смысла нет иметь кешбек в МТС бонусах, т.к. даже с ним цена выше чем вы продаете на маркетплейсах.;3
775;2025-07-24;Маркетплейс;WEB;не могу дождаться окна про подписку на рассылку для получения скидки;0
776;2025-07-24;Маркетплейс;WEB;Оформил заказ 87254344. Проехал 80км, потратил час времени, чтобы узнать, что телефон в магазине лежит бракованный Крайне не доволен уровнем сервиса.;2
777;2025-07-25;Маркетплейс;WEB;Медленный сайт ,доставка просто ужас!!!;0
778;2025-07-26;Маркетплейс;WEB;Сайт работает хреново. Описание к тарифу нормального нет, какая скорость инета, сколько Гб, как переносятся остатки, ничего не написано.;-1
779;2025-07-27;Маркетплейс;WEB;Постоянно отсутствуют нужные товары.;0
780;2025-07-29;Маркетплейс;WEB;ДАРИТЕ ПРОСРОЧЕННЫЕ СКИДКИ И ПРОМОКОДЫ.ПРИ ДОБАВЛЕНИИ ТОВАРА В КОРЗИНУ ЦЕНА ТОВАРА ЗНАЧИТЕЛЬНО ВОЗРАСТАЕТ;5
