id;date;product;platform;text;topic
65;2025-11-21;Видео-платформа;ANDROID;Да просто мне это не надо.;-1
66;2025-11-20;Видео-платформа;ANDROID;Проблемы с воспроизведением, ограничен список фильмов, проблемы ВК видео и рутуб;-1
67;2025-10-21;Видео-платформа;IOS;Все выше перечисление а также невозможность отключить подписку;4
68;2025-10-25;Видео-платформа;ANDROID;Невозможно выйти с фильма на главную;-1
69;2025-10-31;Видео-платформа;ANDROID;Плохо работает программа достижений.Не обновляется,не учитывается...Приходится постоянно обращаться в поддержку;0
70;2025-10-06;Видео-платформа;ANDROID;Бесит долгая заставка реклама и долгие переходы и нахер не нужные бонусы какие-то  ;0
71;2025-10-27;Видео-платформа;IOS;Я хочу загрузить видео но показывает что нет памяти хотя там нет видео;-1
72;2025-10-08;Видео-платформа;ANDROID;Нет фонового режима;6
73;2025-10-05;Видео-платформа;IOS;На телевизоре не дает смотреть, все тормозит и не грузит , через 10-15 минут после начала просто выкидывает из приложения ;0
74;2025-10-10;Видео-платформа;IOS;высокая стоимость подписки и отсутствие таймера авто выключения во время просмотра;0
75;2025-10-07;Видео-платформа;IOS;Существуют гораздо более удобные приложения(;0
76;2025-10-29;Видео-платформа;IOS;Не всё можно смотреть по подписке ;-1
77;2025-10-05;Видео-платформа;IOS;Реклама;2
78;2025-10-11;Видео-платформа;ANDROID;РЕКЛАМА КОТОРАЯ НЕ НА В-КАНАЛЕ, А ПРИЛОЖЕНИЯ, ОРЁТ, ТОРМОЗИТ, ВИСНЕТ;2
79;2025-10-15;Видео-платформа;IOS;Не сохраняется настройка качества видеопотока. Реклама на старте двойная! Короткая задержка для прочтения аннотации перед запуском трейлера в шапке . И вообще хорошо было бы запустить трейлер кнопкой, а не автоматически.;0
80;2025-10-01;Видео-платформа;IOS;Начинаешь смотреть сериал а он через какое-то время пропадает из папки «продолжить просмотр» и приходится его искать. Один сериал серию посмотрела, забыла как называется, так до сих пор его больше и не вижу в приложении;0
81;2025-10-28;Видео-платформа;ANDROID;Нет оригинальной озвучки у зарубежных фильмов;1
82;2025-10-14;Видео-платформа;IOS;Неудобный видеоплеер, высока стоимость, список доступного контента.  ;-1
83;2025-10-15;Видео-платформа;IOS;Не хватает мульт сериалов по типу «симпсоны» или «гриффины»;7
84;2025-10-22;Видео-платформа;ANDROID;"Хотелось бы вручную выбирать качество видео при просмотре телеканалов: 1080; 720; 576; 480;  360";0
85;2025-10-24;Видео-платформа;IOS;Не переключает нормально серии, приходится перезапускать;0
86;2025-10-03;Видео-платформа;IOS;Контент фильмов оставляет  желать лучшего, не обновляется  совсем , перешел на око, больше фильмов и сериалов ;0
87;2025-10-05;Видео-платформа;ANDROID;Я не даю советов;-1
88;2025-10-20;Видео-платформа;ANDROID;Быстро кончаются деньги;0
89;2025-10-23;Видео-платформа;ANDROID;Подписка дорогая, сериалы сокращ?нные обрезаные, интересного не чего нет, старь? одно и то сокращ?нное.   ;7
90;2025-10-22;Видео-платформа;ANDROID;Много съедает интернета, даже при качестве 240;2
91;2025-10-18;Видео-платформа;ANDROID; рекламу не только на каналах, но и еще вставляете, за...бало;2
92;2025-10-14;Видео-платформа;IOS;отсутствие субтитров!!!;-1
93;2025-10-07;Видео-платформа;IOS;При поиске каналов приложение постоянно возвращает к изначально выбранному ;0
94;2025-10-15;Видео-платформа;ANDROID;У каждого свое мнение. ;5
95;2025-10-07;Видео-платформа;IOS;П.2 и П.4;5
96;2025-10-16;Видео-платформа;ANDROID;Реклама ;2
97;2025-10-29;Видео-платформа;IOS;Неудобный интерфейс когда включается кино ;1
98;2025-10-26;Видео-платформа;IOS;Нет перемотки на 10, 20, 30 секунд ;6
99;2025-10-28;Видео-платформа;IOS;Все нравится ;5
100;2025-10-31;Видео-платформа;IOS;Можно скачать фильмы и сериалы, но без интернета невозможно войти в приложение чтобы их смотреть ;0
101;2025-10-20;Видео-платформа;ANDROID;Подписка сразу прекращает свое действие после отключения, хотя еще остается время оплачиваемого периода;0
102;2025-10-20;Видео-платформа;IOS;Невозможно отменить подписку;4
103;2025-10-09;Видео-платформа;IOS;не дает отменить подписку;4
104;2025-10-27;Видео-платформа;ANDROID;Все на Мегафоне;3
105;2025-10-05;Видео-платформа;ANDROID;Много технических недоработок. Приложение само зависает, не держит формат экрана;0
106;2025-10-30;Видео-платформа;ANDROID;Нельзя свернуть в маленький экран и работать с другими приложениями одновременно с просмотром. Другими словами нет функции картинка в картинке   ;0
107;2025-10-27;Видео-платформа;IOS;Проблемы со скоростью и качеством????? Эти проблемы связанны с оператором????? ;-1
108;2025-10-18;Видео-платформа;ANDROID;Непонятно когда просит оформить подписку, а она оформленная . но фильм не удаётся посмотреть;0
109;2025-10-13;Видео-платформа;ANDROID;Не запускается в режиме плавающего окна.;6
110;2025-10-17;Видео-платформа;IOS;Ошибка потока, приложение не работает.  К тому же очень неудобное, например добавить канал в любимые через  дальнее меня, а не сразу во время просмотра;0
111;2025-10-23;Видео-платформа;ANDROID;Мало действительно хороших фильмов.;1
112;2025-10-09;Видео-платформа;ANDROID;Нет фонового режима;6
113;2025-10-02;Видео-платформа;ANDROID;неудобный формат ;3
114;2025-10-25;Видео-платформа;IOS;Платная подписка;-1
115;2025-10-13;Видео-платформа;IOS;Неудобства в работе. Составляли люди, которые мало пользуются приложением. ;0
116;2025-10-23;Видео-платформа;IOS;Не успеваю выбрать канал тв, он переходит к началу списка;0
117;2025-10-26;Видео-платформа;ANDROID;За такие деньги, еще и по подписке покупать.;0
118;2025-10-17;Видео-платформа;ANDROID;Потребляет трафик, тормозит, мало фантастики, много отдельно платного контента! ;0
119;2025-10-27;Видео-платформа;IOS;Проблема а оплатой ( не могу пользоваться из-за этого приложением) ;0
120;2025-10-14;Видео-платформа;ANDROID;Мтс снимаю  трафик  Мало  фильмом ;1
121;2025-10-07;Видео-платформа;IOS;Репертуар небольшой;-1
122;2025-10-02;Видео-платформа;IOS;неудобное приложение, все еще не понимаю как перематывать видео на 10сек в перед;0
123;2025-10-25;Видео-платформа;ANDROID;Смотришь фильм полностью из списка достижений на медальки, а он не зашитывает. Мало выбора!;0
124;2025-10-11;Видео-платформа;IOS;Очень маленький список фильмов сериалов доступно  Не доступен разворот экрана только у стоячем положении должен быть, отвратно ;0
125;2025-10-03;Видео-платформа;IOS;С мтс теперь невозможно подключить подписку по промокоду потому что уже всегда есть подписка от МТС но в нее ничего не входит практически!!! ;0
126;2025-10-08;Видео-платформа;ANDROID;Мало фильмов и сериалов ;1
127;2025-10-09;Видео-платформа;IOS;Долгий запуск приложения. При поиске прокрутке  тв каналов постоянно через 3 секунды идет возврат в исходный ,канал  это очень раздражает.;0
128;2025-10-24;Видео-платформа;ANDROID;Не отключается подписка кион премиум.подключение выполнено не мной.;-1
129;2025-10-17;Видео-платформа;IOS;Списали последние деньги ;0
130;2025-10-17;Видео-платформа;IOS;Реклама раздражает;2
131;2025-10-07;Видео-платформа;ANDROID;Не все фильмы можно найти, эпохи СССР ;-1
132;2025-10-16;Видео-платформа;IOS;Все из списка ;5
133;2025-10-11;Видео-платформа;IOS;Контент очень много весит, если скачивать на телефон . Не удобный интерфейс приложения.;0
134;2025-10-21;Видео-платформа;ANDROID;Есть и другие варианты ;5
135;2025-10-29;Видео-платформа;ANDROID;Много рекламы;2
136;2025-10-17;Видео-платформа;ANDROID;Очень мало фильмов и сериалов;1
137;2025-10-27;Видео-платформа;IOS;Не сохраняется история просмотра, не удобное управление, ломается при повороте экрана, переодически зависает видео, проблемы со входом с пк.;0
138;2025-10-31;Видео-платформа;ANDROID;Сложный сайт. И проблема с подпиской. ;-1
139;2025-10-21;Видео-платформа;IOS;нагиев, козловский;3
140;2025-10-19;Видео-платформа;IOS;Сериалы разделены на большой период;2
141;2025-10-29;Видео-платформа;IOS;Не все фильмы есть на КION, когда набираю поиск ;-1
142;2025-10-27;Видео-платформа;ANDROID;Нет интернета;6
143;2025-10-23;Видео-платформа;IOS;без интернета нельзя открыть раздел загруженное , в чем тогда его смысл?;1
144;2025-10-29;Видео-платформа;IOS;Было бы неплохо , если бы был раздел аудиокниги;1
145;2025-10-17;Видео-платформа;IOS;Прерывается трансляция на каналах между передачами. Конец передачи невозможно увидеть, так как прекращается вещание в соответствии с программой передач. Много раз писала об этом и тишина;0
146;2025-10-27;Видео-платформа;IOS;удобство пользования, дизайн приложения, список фильмов и сериалов (есть и годнота, но как основной онлайн-кинотеатр явно не подходит);0
147;2025-10-25;Видео-платформа;ANDROID;Рекламма по верх ТВ каналов. ;2
148;2025-10-29;Видео-платформа;ANDROID;Больше отечественных фильмов про лихие 90-е. года.  ;1
149;2025-10-30;Видео-платформа;IOS;Подписку оплачиваю,  а по итогу подписки нет  И денег нет ;0
150;2025-10-17;Видео-платформа;IOS;Редко обновляются новые сериалы и фильмы ;1
151;2025-10-02;Видео-платформа;IOS;Тупое приложение. Долго запускается, оптимизации нет от слова совсем даже на телевизоре с хорошим интернетом тупит;0
152;2025-11-29;Видео-платформа;WEB;не работает в ЛНР;3
153;2025-11-28;Видео-платформа;WEB;выкладка фильмов не в полном объеме ;1
154;2025-11-29;Видео-платформа;WEB;подписку нельзя отменить и деньги не возврашаются. да и смотреть у вас нечего;0
155;2025-11-15;Видео-платформа;WEB;Нет архива передач на нужном мне 5 канале;1
156;2025-11-15;Видео-платформа;WEB;новое с опозданием.;2
157;2025-11-18;Видео-платформа;WEB;смотришь фильм а потом он пропадает из списка ужас;-1
158;2025-11-15;Видео-платформа;WEB;почему-то неудобно переключаться между сезонами в браузерной версии кион. Нет возможности подключиться к телевизору.;0
159;2025-11-29;Видео-платформа;WEB;Не включается полный экран фильмов, и виснет воспроизведение;1
160;2025-11-30;Видео-платформа;WEB;Постоянная реклама;2
161;2025-11-14;Видео-платформа;WEB;при продлении подписки подписка не плюсуется к прошлой дате;4
162;2025-11-29;Видео-платформа;WEB;Обрезанная картинка фильмы, которую нельзя увеличить;1
163;2025-11-15;Видео-платформа;WEB;хуйня;5
164;2025-11-19;Видео-платформа;WEB;проблемы со звуком;3
165;2025-11-17;Видео-платформа;WEB;Отсутствие TimeShift для эфирных каналов;6
166;2025-11-19;Видео-платформа;WEB;Не запускаются фильмы на ПК только на мобильном;1
167;2025-11-16;Видео-платформа;WEB;НИЧЕГО;6
168;2025-10-18;Видео-платформа;WEB;У каждого свой выбор, не хочу навязывать своё мнение;5
169;2025-10-12;Видео-платформа;WEB;просмотр возможен только с телефона. при покупке этой информации не было.  с ноута и компьютера возможен просмотр только первой серии , далее с телефона. это мошенничество, если вы об этом не говорите. в правилах подписки указано, что можно и с компьютера просматривать. отпишусь со след. месяца;0
170;2025-10-15;Видео-платформа;WEB;Контент низкого уровня.;-1
171;2025-10-24;Видео-платформа;WEB;"поиск по сайту ужасный, в самом плеере не всегда работает перемотка, нет вариантов дубляжа и субтитров, нет фильтров по которым можно было бы выбрать что смотреть, подборки собраны идиотски максимально - хочется например ""сериал на тему Х"", ""дорамы"", ""аниме"", но есть только ""сериалы с русскими актерами-ноунеймами"" и миллион подборок непонятных комедий. сайт в целом будто бы не сделан под компы, красиво конечно, но неудобно, найти что-то конкретное невозможно, ищу конкретный сериал и даже не знаю - дело в том что его просто нет на сайте, или в том что поиск выдает все что угодно но не то что я ищу. хочется чего-то похожего на уже просмотренное - внизу опять список чего-то не связанного почти никак, персональных рекомендаций никаких нет. введите возможность указать предпочтения в профиле или искать кино по конкретным тегам, переработайте поиск, добавьте звуковые дорожки и субтитры, оптимизируйте размер обложек так, чтобы на экране их было не по пять штук и не приходилось без конца листать, добавьте фильтры - тогда, может, будет что рекомендовать. пока сайт годится скорее для того чтобы телевизор посмотреть - но это можно сделать и на телевизоре, и на сайтах каналов, где не придется искать нужный сто лет.";0
172;2025-10-27;Видео-платформа;WEB;приложение настроено так,что невозможно управлять подпиской;4
173;2025-10-21;Видео-платформа;WEB;вотемарка в фильме;1
174;2025-10-05;Видео-платформа;WEB;Не работают ни один из телеканалов;1
175;2025-10-12;Видео-платформа;WEB;Не очень удобный плеер по сравнению с другими платформами. Большая часть поддерживают функцию вывода видео в отдельное окно, если переключился на другую вкладку(с ПК смотрю). Здесь она включается по кнопке и открывается отдельная страница. Ну и коллекция небольшая по сути.;0
176;2025-10-30;Видео-платформа;WEB;Оформлена подписка ,но сериал Плевако ,не проигрывается ,пишет еще оформите /оплатите . Хотя в личном кабинете все высвечивается и оплата и статус подписки;0
177;2025-10-16;Видео-платформа;WEB;сильно расходует интернет трафик;2
178;2025-10-24;Видео-платформа;WEB;Твари, деньги берете , а просмотра нет, подонки вонючие;0
179;2025-10-10;Видео-платформа;WEB;Сделано видимо просто чтобы сделать срубить денег с подписки. Тестировщики да и в целом разработка видимо не знают что такое юзерфрендли, что можно опираться на лучшие решения в своем роде и тд;0
180;2025-10-05;Видео-платформа;WEB;Мало хороших фильмов. Постоянно предлагается за дополнительную плату А медиатека, где много хороших фильмов и сериалов.;0
181;2025-10-11;Видео-платформа;WEB;Не возможно зайти через приложение, после регистрации на сайте яндекс, хром в приложение  не могу зайти просит новую регистрацию и оплату, если есть есть возможность связаться со мной будте так добры свяжитесь ;0
182;2025-10-01;Видео-платформа;WEB;нет местных региональных каналов, новостей, при пероходах между разделами тормозит,  нет интенета -нет телевидения;0
183;2025-10-14;Видео-платформа;WEB;нет выбора жанров сериалов и фильмов;1
184;2025-10-19;Видео-платформа;WEB;Только начал пользоваться;-1
185;2025-10-17;Видео-платформа;WEB;Невозможно отменить подписку;4
186;2025-10-08;Видео-платформа;WEB;заинтересованность друзей. Если спросят - порекомендую.;5
187;2025-10-19;Видео-платформа;WEB;через каждые 10 минут останавливается видео, запускается только после обновления страницы, невозможно нормально смотреть;0
188;2025-10-23;Видео-платформа;WEB;Невозможно пропустить заставку и титры, неудобное главное меню;-1
189;2025-10-26;Видео-платформа;WEB;При подключенной подписке не все фильмы и сериалы можно смотреть. Сейчас прдключила подписку, чтобы посмотреть Дом дракона. Оказалось, подписка не распространяется. Жаль.;0
190;2025-10-13;Видео-платформа;WEB;Фильмы-сплошь старьё, да ещё за мои же деньги мне крутят рекламу(!). Интерфейс-НЕ удобный, чтобы увидеть программу передач канала нужно запустить сам канал (учитель у нтв+/винк). при запуске каналов (всех !!!) звук, по умолчанию, выключен.;0
191;2025-10-06;Видео-платформа;WEB;НЕ РАБОТАЕТ на колмп;3
192;2025-10-16;Видео-платформа;WEB;Не запоминается моя аватарка при входе, мелочь но бесит.;0
193;2025-10-14;Видео-платформа;WEB;Невозможно отключить нормально;4
194;2025-10-27;Видео-платформа;WEB;ПЕРСОЕА;5
195;2025-10-30;Видео-платформа;WEB;Стоимость ;2
196;2025-10-27;Видео-платформа;WEB;фильмы не глубокие;1
197;2025-10-11;Видео-платформа;WEB;требует подписку, не смотря на то, что я в МТС домашний интернет;0
198;2025-10-13;Видео-платформа;WEB;Назойлвый показ ттрейлеров и анонсов фильмов перед просмотром;2
199;2025-10-30;Видео-платформа;WEB;не воспроизводится филь, поддержка не реагирует, обман;-1
200;2025-10-22;Видео-платформа;WEB;не могу зайти в подписку через мтс премиум на своем ноутбук е;-1
201;2025-10-04;Видео-платформа;WEB;Не получается смотреть кино на вертикальном экране  в смартфоне.;-1
202;2025-10-28;Видео-платформа;WEB;Неправильное отображение скрытых субтитров на телеканалах (нет форматирования: вместо двух строчек появляется одна длинная строчка, читать неудобно);0
203;2025-10-11;Видео-платформа;WEB;все варианты;5
204;2025-10-29;Видео-платформа;WEB;Мне не нравятся то,  что снимается на данный момент. Кион не причем. Просто фильмы ужасны. ;0
205;2025-10-11;Видео-платформа;WEB;есть куда более популярный киносервис, который входит в подписку яндекс плюс;0
206;2025-10-21;Видео-платформа;WEB;вообще не удобно! с одной стороны фильмов много, но выбарть очено трудно: отзывов не найти, о фильме нет нормальной рекомендации-описания. А если хочется определенный фильм посмотреть, то точно не здесь. Плюс сам факт покупки просмотров - зачем мне это покупать? в принципе раздражает необходимость оплаты собственной деградации) полезного контента не обнаружено( нет, пожалуй, совсем не посоветую, даже если ОЗОН снова станет навяливать.;0
207;2025-10-22;Видео-платформа;WEB;Отвратительный интерфейс и поиск;3
208;2025-10-25;Видео-платформа;WEB;очень часто зависает;2
209;2025-10-17;Видео-платформа;WEB;Несколько пунктов , один не выбрать. И  часто подвисает при достаточно высокой скорости сети. И дорого стоит. И нечего смотреть. ;0
210;2025-10-10;Видео-платформа;WEB;оплатили 99 рублей за месяц  показали одну серию  и требуете денег;0
211;2025-10-09;Видео-платформа;WEB;Алушта Сочи Анапа;3
212;2025-10-05;Видео-платформа;WEB;трафик интернета тратиться сильно ;2
213;2025-10-17;Видео-платформа;WEB;Только ты норм , все смотрят в сморьыонах, фильмы если ;1
214;2025-10-17;Видео-платформа;WEB;Есть другие основные стримы;-1
215;2025-10-27;Видео-платформа;WEB;отсутствует поиск по разделам;6
216;2025-10-28;Видео-платформа;WEB;приложение полный калл и не удобное;-1
217;2025-10-04;Видео-платформа;WEB;"Неудобно пользоваться, нет в меню строки ""любимые каналы""";-1
218;2025-10-29;Видео-платформа;WEB;одно и тоже;5
219;2025-10-28;Видео-платформа;WEB;Без предупреждения списывают деньги за подписку, нельзя удалить карты в аккаунте. ;0
220;2025-10-21;Видео-платформа;WEB;Просто не хочу рекомендовать  ;-1
221;2025-10-08;Видео-платформа;WEB;На компьютере с этим же профилем подписки нет ;4
222;2025-10-26;Видео-платформа;WEB;совершенно отсутствуют новинки;-1
223;2025-10-13;Видео-платформа;WEB;отписаться от подписки - кучу экранов пройти надо;0
224;2025-10-23;Видео-платформа;WEB;У вас мало интересного. Все рассортировано по дебильному. И просто, невозможно, что - то найти. ;0
225;2025-10-20;Видео-платформа;WEB;не работает мышь и аэромышь в приложении для Android TV. В старом приложении (жёлтом) - всё работало. ;0
226;2025-10-07;Видео-платформа;WEB;хотелось бы чтоб добавили больше фильмов ;1
227;2025-10-04;Видео-платформа;WEB;Слишком мало фильмов. Нєт каталога по жанрам;7
228;2025-10-18;Видео-платформа;WEB;Приложение вообще не адаптированно для тв, невозможно пользоваться ;-1
229;2025-10-29;Видео-платформа;WEB;все устраивает, но очень неудобно что при выборе сериала и нажатии на него или просмотре нельзя посмотреть список серий и выбрать другую как в других онлайн-кинотеатрах;0
230;2025-10-13;Видео-платформа;WEB;реклама появилась;2
231;2025-10-30;Видео-платформа;WEB;не могу оплатить матч премьер;4
232;2025-10-25;Видео-платформа;WEB;нельзя посмотреть некоторые серии без приложения;-1
233;2025-10-04;Видео-платформа;WEB;Смотрел сериал Клан (Сербия) со вчерашнего дня доступа к нему нет (ошибка 404). Кто так делает? ;0
234;2025-10-17;Видео-платформа;WEB;несколько сериалов не показывает НИ на компьютере, НИ на мобильном устройстве.  выдает ошибку.;0
235;2025-10-17;Видео-платформа;WEB;Не даете отменить подписку, навязывая услугу остаться!;4
236;2025-10-23;Видео-платформа;WEB;Не работал сайт;3
237;2025-10-14;Видео-платформа;WEB;после недели подписки сложно сложить мнение;4
238;2025-10-27;Видео-платформа;WEB;Оплатила подписку 99 р . Посмотрела 1 серию фильма. На второй серии мне сообщили ,что надо перезагрузить браузер. либо смотреть на мобильном приложении. 1 серия прекрасно просматривается. Мошенники . просто спасали деньги.;0
239;2025-10-20;Видео-платформа;WEB;обязательный пинкод и то что даже не предусмотрен вариант от него отказаться при входе, полное днище ;0
240;2025-10-10;Видео-платформа;WEB;невозможно отменить подписку. жулье;4
241;2025-10-23;Видео-платформа;WEB;Не нашел жанр фантастика;6
242;2025-10-03;Видео-платформа;WEB;"блоки ""контекстной рекламы"" во время штатной  рекламы на канале которая может повторятся по нескольку раз.";2
243;2025-10-27;Видео-платформа;WEB;ЗАКОЛЕБЕЛА КАЖДЫЙ РАЗ СПРАШИВАТЬ АВТОРИЗАЦИЮ ПРИ КАЖДОМ-КАЖДОМ-КАЖДОМ ЗАХОДЕ НА КОМПЬЮТЕРЕ!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!;0
244;2025-10-17;Видео-платформа;WEB;неудобный вход в приложение (обязательное смс-подтверждение), неудобная система учетных записей (невозможность настроить персональный вход),  неудобная система поиска (фильтры), наполнение пока не анализировал.;0
315;2025-08-16;Видео-платформа;ANDROID;Часто слитает;2
316;2025-08-16;Видео-платформа;ANDROID;При просмотре в мобильной версии и сворачивании приложения, воспроизведение останавливается и мини экран не отображается, нет возможности просмотра в отдельном окне и одновременном просмотре других приложений (в кинопоиск такая функция есть);0
317;2025-08-17;Видео-платформа;ANDROID;Нет многих каналов и фильмов;1
318;2025-08-17;Видео-платформа;IOS;Серии не синхронизируются корректно и своевременно, неудобно выбор серий устроен на компе, что включается сразу серия, а не выбор серии, он спрятан глубоко и надо дотыкаться через поиск;0
319;2025-08-18;Видео-платформа;ANDROID;Нет каналов viasat! Подписки очень дорогие, сервиса нет от слова совсем;0
320;2025-08-18;Видео-платформа;IOS;Прусаков (НСО по Казани) очень сильно ущемляет наши права, мы боимся куда-либо жаловаться, так как он может уволить просто так. Но нам, как сотрудникам МТС очень хочется чтобы данная проблема была решена;0
