topic_name,description,existing_category,is_new_topic,rationale,severity,mode,topic_id,product,product_id,cluster_size,elapsed,tokens,rag_similarities
Навязчивая реклама и тормоза,"Пользователи жалуются на частую и раздражающую рекламу, а также на проблемы с грузкой интерфейса.",Навязчивая реклама,False,,высокая,static,2,Видео-платформа,video_platform,59,3.95,96,
Неудобный интерфейс и проблемы с работой сайта,"Клиенты жалуются на неудобное меню и интерфейс, а также на проблемы с работой сайта в браузере Сафари.",Неудобный интерфейс/плеер,False,,средняя,static,3,Видео-платформа,video_platform,39,4.14,109,
Проблемы с доставкой и наличием товара,"Клиенты жалуются на отсутствие доставки в их город, недостаток товаров в наличии и платный самовывоз.",Не нашел нужный товар,False,,средняя,static,0,Маркетплейс,internet_shop,142,3.92,98,
Проблемы с товаром в корзине,Клиенты жалуются на исчезновение товаров из корзины и неопределенность о состоянии товара при покупке.,Не устроило состояние товара при получении,False,,средняя,static,1,Маркетплейс,internet_shop,35,4.0,98,
Проблемы с заказом и качеством товара,"Клиенты жалуются на проблемы при оформлении заказов, бракованном товаре и отсутствии уведомлений о его состоянии. Также есть недовольство тем, что деньги не возвращаются своевременно.",Не устроило состояние товара при получении,False,,высокая,static,2,Маркетплейс,internet_shop,28,4.52,124,
Цены и доставка,Клиенты недовольны высокими ценами и отсутствием возможности бесплатной доставки.,Не устроила цена на товар,False,,высокая,static,3,Маркетплейс,internet_shop,16,3.84,84,
Сложность использования приложения,"Пользователи жалуются на неудобство навигации и взаимодействия с приложением, включая проблемы с сохранением настроек и автоматическими действиями.",новая тема,True,"Тема не полностью соответствует существующим категориям: она касается навигации и взаимодействия, но не только рекламы или тормозов при переходах между разделами.",средняя,rag,0,Видео-платформа,video_platform,256,5.62,147,"[{'name': 'Дорогая подписка, сложно отключить подписку', 'sim': 0.8328}, {'name': 'Навязчивая реклама', 'sim': 0.8054}, {'name': 'При переходах между разделами приложение тормозит', 'sim': 0.801}]"
Малый ассортимент фильмов и сериалов,"Пользователи жалуются на недостаток доступного контента в виде ограниченного количества фильмов, сериалов и новых релизов.",Ассортимент фильмов/каналов,False,,средняя,rag,1,Видео-платформа,video_platform,66,4.39,104,"[{'name': 'Ассортимент фильмов/каналов', 'sim': 0.8275}, {'name': 'Проблемы с воспроизведением или запуском фильмов/каналов', 'sim': 0.8014}, {'name': 'При переходах между разделами приложение тормозит', 'sim': 0.7923}]"
PARSE_ERROR,"{
  ""topic_name"": ""Тормозящее приложение с рекламой"",
  ""description"": ""Пользователи жалуются на тормозящее поведение пр",PARSE_ERROR,False,,,rag,2,Видео-платформа,video_platform,59,3.62,60,"[{'name': 'При переходах между разделами приложение тормозит', 'sim': 0.8485}, {'name': 'Навязчивая реклама', 'sim': 0.837}, {'name': 'Дорогая подписка, сложно отключить подписку', 'sim': 0.8226}]"
Проблемы со входом в приложение,"Пользователи отмечают трудности с авторизацией и входом в аккаунт через различные методы, такие как номер телефона или МТС ID.",Проблемы со входом в приложение,False,,средняя,rag,3,Видео-платформа,video_platform,39,4.3,102,"[{'name': 'Неудобный интерфейс/плеер', 'sim': 0.8278}, {'name': 'При переходах между разделами приложение тормозит', 'sim': 0.8117}, {'name': 'Проблемы со входом в приложение', 'sim': 0.7953}]"
Проблемы с доставкой и наличии товара,"Пользователи жалуются на отсутствие товаров в наличии, недоступность доставки в их город или страну, а также на то, что доставка оказывается платной.",новая тема,True,"Тема не полностью соответствует существующим категориям: она связана с наличием и доставкой товара, но не затрагивает состояние товара при получении или процесс оформления заказа.",средняя,rag,0,Маркетплейс,internet_shop,142,5.33,149,"[{'name': 'Не устроило состояние товара при получении', 'sim': 0.8073}, {'name': 'Сложный процесс оформления заказа', 'sim': 0.7954}, {'name': 'Много отвлекающих элементов на сайте', 'sim': 0.7953}]"
Проблемы с товаром в корзине,"Пользователи отмечают исчезновение товаров из корзины после небольшого отвлечения, что вызывает недовольство и разочарование.",новая тема,True,"Тема не полностью соответствует существующим категориям: товары при получении повреждены (не устроило состояние товара), товары отсутствуют в каталоге или корзине (не нашел нужный товар) и цены на товары высокие (не устроила цена на товар). Тема связана с техническими проблемами интерфейса, а не с качеством товаров или их ценой.",средняя,rag,1,Маркетплейс,internet_shop,35,5.88,201,"[{'name': 'Не устроило состояние товара при получении', 'sim': 0.7978}, {'name': 'Не нашел нужный товар', 'sim': 0.7912}, {'name': 'Не устроила цена на товар', 'sim': 0.7893}]"
Проблемы с заказом и доставкой,"Пользователи жалуются на проблемы при оформлении и получении заказа: задержки в отмене бракованных товаров, неправильная информация о доставке, несоответствие действительности условий акций.",Сложный процесс оформления заказа,False,,высокая,rag,2,Маркетплейс,internet_shop,28,4.68,121,"[{'name': 'Не устроило состояние товара при получении', 'sim': 0.8006}, {'name': 'Не устроила цена на товар', 'sim': 0.7989}, {'name': 'Сложный процесс оформления заказа', 'sim': 0.7966}]"
Цены и доставка,"Пользователи жалуются на завышенные цены, отсутствие конкурентных предложений и проблему с доставкой товара из других городов. Также есть недовольство тем, что кешбэк списывается не полностью.",новая тема,True,"Тема отличается от существующих категорий в том, что она связана с ценовой политикой и доставкой, а не с отвлекающими элементами на сайте или процессом оформления заказа.",средняя,rag,3,Маркетплейс,internet_shop,16,5.26,157,"[{'name': 'Много отвлекающих элементов на сайте', 'sim': 0.8185}, {'name': 'Сложный процесс оформления заказа', 'sim': 0.8184}, {'name': 'Не устроило состояние товара при получении', 'sim': 0.8096}]"
